round, agent, score
87, RiskyAgent, 15
87, CautiousAgent, 15
87, MarkovDecisionProcessAgent, 15
87, MarkovDecisionProcessAgentAdjusted, 15
88, AlwaysHoldAgent, 14
88, PerfectionistAgent, -69
88, OneStepLookAheadAgent, 14
88, RiskyAgent, 14
88, CautiousAgent, 14
88, MarkovDecisionProcessAgent, 14
88, MarkovDecisionProcessAgentAdjusted, 14
89, AlwaysHoldAgent, 11
89, PerfectionistAgent, -50
89, OneStepLookAheadAgent, 11
89, RiskyAgent, 11
89, CautiousAgent, 11
89, MarkovDecisionProcessAgent, 11
89, MarkovDecisionProcessAgentAdjusted, 11
90, AlwaysHoldAgent, 13
90, PerfectionistAgent, -42
90, OneStepLookAheadAgent, 13
90, RiskyAgent, 13
90, CautiousAgent, 13
90, MarkovDecisionProcessAgent, 13
90, MarkovDecisionProcessAgentAdjusted, 13
91, AlwaysHoldAgent, 8
91, PerfectionistAgent, 3
91, OneStepLookAheadAgent, 10
91, RiskyAgent, 10
91, CautiousAgent, 10
91, MarkovDecisionProcessAgent, 15
91, MarkovDecisionProcessAgentAdjusted, 15
92, AlwaysHoldAgent, 9
92, PerfectionistAgent, -107
92, OneStepLookAheadAgent, 13
92, RiskyAgent, 13
92, CautiousAgent, 13
92, MarkovDecisionProcessAgent, 10
92, MarkovDecisionProcessAgentAdjusted, 10
93, AlwaysHoldAgent, 17
93, PerfectionistAgent, -6
93, OneStepLookAheadAgent, 17
93, RiskyAgent, 17
93, CautiousAgent, 17
93, MarkovDecisionProcessAgent, 17
93, MarkovDecisionProcessAgentAdjusted, 17
94, AlwaysHoldAgent, 16
94, PerfectionistAgent, -39
94, OneStepLookAheadAgent, 16
94, RiskyAgent, 16
94, CautiousAgent, 16
94, MarkovDecisionProcessAgent, 16
94, MarkovDecisionProcessAgentAdjusted, 16
95, AlwaysHoldAgent, 11
95, PerfectionistAgent, 11
95, OneStepLookAheadAgent, 11
95, RiskyAgent, 11
95, CautiousAgent, 11
95, MarkovDecisionProcessAgent, 17
95, MarkovDecisionProcessAgentAdjusted, 17
96, AlwaysHoldAgent, 14
96, PerfectionistAgent, -2
96, OneStepLookAheadAgent, 17
96, RiskyAgent, 17
96, CautiousAgent, 17
96, MarkovDecisionProcessAgent, 17
